epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,185.038,1.42004,1.16181,1.2901,0.6854,0.67832,0.73431,0.39926,1.46638,1.23018,1.3717,0.00214046,0.00214046,0.00214046
72,187.691,1.42859,1.1929,1.33331,0.73506,0.58559,0.69482,0.36702,1.5814,1.25776,1.42283,0.00201611,0.00201611,0.00201611
73,190.167,1.39873,1.15505,1.28493,0.61817,0.60644,0.64453,0.32516,1.63317,1.32047,1.45359,0.00189475,0.00189475,0.00189475
74,192.663,1.377,1.14696,1.29797,0.63262,0.70497,0.72324,0.39183,1.54704,1.19094,1.4166,0.00177651,0.00177651,0.00177651
75,195.009,1.4217,1.12934,1.26083,0.66618,0.67522,0.71748,0.38123,1.63694,1.2064,1.45153,0.00166149,0.00166149,0.00166149
76,197.527,1.39706,1.13681,1.28694,0.70839,0.62519,0.71773,0.38459,1.58329,1.16848,1.4187,0.00154982,0.00154982,0.00154982
77,200.144,1.39926,1.15301,1.30533,0.73321,0.66764,0.75363,0.42667,1.44776,1.11649,1.33983,0.00144161,0.00144161,0.00144161
78,202.58,1.37588,1.12264,1.26475,0.72584,0.67605,0.75021,0.42654,1.45021,1.11756,1.35275,0.00133695,0.00133695,0.00133695
79,204.986,1.37886,1.09786,1.27477,0.67824,0.63109,0.70837,0.38739,1.52977,1.19858,1.39052,0.00123596,0.00123596,0.00123596
80,207.491,1.39251,1.14135,1.30037,0.67258,0.69721,0.72543,0.40113,1.53267,1.15781,1.38811,0.00113873,0.00113873,0.00113873
81,210.116,1.36016,1.13574,1.29381,0.66878,0.66214,0.72108,0.39899,1.53844,1.18371,1.40573,0.00104537,0.00104537,0.00104537
82,212.597,1.34277,1.0956,1.26188,0.70483,0.62023,0.7158,0.38573,1.56304,1.17692,1.40934,0.000955951,0.000955951,0.000955951
83,215.069,1.36428,1.09501,1.27254,0.72249,0.65287,0.73029,0.39613,1.55056,1.16718,1.41283,0.000870577,0.000870577,0.000870577
84,217.732,1.37402,1.1067,1.30258,0.68686,0.68807,0.74744,0.40802,1.47692,1.14184,1.37831,0.000789327,0.000789327,0.000789327
85,220.212,1.33342,1.07583,1.25695,0.65831,0.68582,0.71736,0.38767,1.5626,1.15668,1.40551,0.000712282,0.000712282,0.000712282
86,222.659,1.3368,1.09429,1.26822,0.66792,0.69002,0.73377,0.4048,1.52636,1.13629,1.40017,0.000639518,0.000639518,0.000639518
87,225.083,1.34101,1.08025,1.2737,0.70631,0.66879,0.73358,0.40353,1.54174,1.13612,1.39414,0.000571106,0.000571106,0.000571106
88,227.567,1.36151,1.09568,1.27307,0.69334,0.68254,0.73167,0.3952,1.55981,1.15311,1.40732,0.000507115,0.000507115,0.000507115
89,230.241,1.32866,1.08657,1.26129,0.71497,0.67915,0.735,0.40666,1.5068,1.13213,1.37707,0.000447606,0.000447606,0.000447606
90,233.022,1.3644,1.10289,1.27562,0.71504,0.68464,0.74425,0.41453,1.51018,1.11764,1.3762,0.00039264,0.00039264,0.00039264
91,236.926,1.34343,1.13748,1.33213,0.67312,0.69509,0.73763,0.4031,1.54469,1.13156,1.39128,0.00034227,0.00034227,0.00034227
92,239.429,1.35527,1.10128,1.26568,0.70261,0.68532,0.74402,0.41789,1.46003,1.10468,1.35239,0.000296546,0.000296546,0.000296546
93,241.992,1.3516,1.09813,1.30943,0.70512,0.69172,0.74794,0.41972,1.44991,1.10061,1.34633,0.000255513,0.000255513,0.000255513
94,244.376,1.33887,1.06286,1.27234,0.71779,0.68483,0.75023,0.41747,1.47405,1.10686,1.36148,0.000219212,0.000219212,0.000219212
95,246.809,1.28974,1.04988,1.26551,0.71537,0.70068,0.75448,0.42818,1.44447,1.09679,1.34841,0.000187678,0.000187678,0.000187678
96,249.318,1.31976,1.05583,1.26948,0.73822,0.69202,0.75576,0.4347,1.42293,1.08314,1.33581,0.000160943,0.000160943,0.000160943
97,251.837,1.35535,1.09558,1.31802,0.7087,0.70771,0.75987,0.43706,1.42873,1.07496,1.33646,0.000139032,0.000139032,0.000139032
98,254.251,1.32526,1.02634,1.25642,0.72891,0.69818,0.75954,0.42994,1.43799,1.07465,1.34124,0.000121968,0.000121968,0.000121968
99,256.649,1.30604,1.04039,1.28018,0.72853,0.69803,0.75561,0.42642,1.45435,1.0782,1.35026,0.000109768,0.000109768,0.000109768
100,259.114,1.30451,1.0591,1.28568,0.72203,0.68907,0.75487,0.42705,1.45406,1.07846,1.35199,0.000102443,0.000102443,0.000102443
